,State,Excess Readmission Ratio,SRR,State Code,Region,Division
0,AK,0.9560578947368422,0.7959255790624999,AK,West,Pacific
1,AL,1.0181503012048196,0.9320608736308635,AL,South,East South Central
2,AR,1.0231026041666664,0.9951922420412699,AR,South,West South Central
3,AZ,0.9836234848484848,0.9324047566619467,AZ,West,Mountain
4,CA,1.0038799339388915,0.9673918657829427,CA,West,Pacific
5,CO,0.9573464114832532,0.841315025030986,CO,West,Mountain
6,CT,1.0050096551724137,1.0128691363446807,CT,Northeast,New England
7,DC,1.0303514285714284,1.099347729836842,DC,South,South Atlantic
8,DE,0.9866484848484848,0.9493823744666666,DE,South,South Atlantic
9,FL,1.0279550655542309,1.1203144346360965,FL,South,South Atlantic
10,GA,1.0104447619047627,0.9901153542021672,GA,South,South Atlantic
11,HI,0.959348148148148,0.841714161983333,HI,West,Pacific
12,IA,0.9661331325301202,0.8445004584851851,IA,Midwest,West North Central
13,ID,0.9271052631578944,0.801519803044,ID,West,Mountain
14,IL,1.0107417069243154,1.0125819892244188,IL,Midwest,East North Central
15,IN,0.9813886010362688,0.9209776732388153,IN,Midwest,East North Central
16,KS,0.9820167539267018,0.994854888356,KS,Midwest,West North Central
17,KY,1.0242724738675963,1.0233093742098214,KY,South,East South Central
18,LA,1.0087925806451603,0.9616648092613922,LA,South,West South Central
19,MA,1.0370588014981272,1.0399381301389612,MA,Northeast,New England
20,MD,0.9980584821428576,0.9738238772618057,MD,South,South Atlantic
21,ME,0.9588860465116276,0.7075621462117647,ME,Northeast,New England
22,MI,1.003114155251142,1.0213938809824745,MI,Midwest,East North Central
23,MN,0.9831837962962968,0.9829736838733333,MN,Midwest,West North Central
24,MO,1.0031705382436256,1.0005273284256413,MO,Midwest,West North Central
25,MS,1.0269663677130043,0.969150104986585,MS,South,East South Central
26,MT,0.9403852459016392,0.8992237353333333,MT,West,Mountain
27,NC,0.9930612820512816,0.9478281410804013,NC,South,South Atlantic
28,ND,0.9578578947368426,0.7768221312571428,ND,Midwest,West North Central
29,NE,0.9549306930693072,0.8609172731914287,NE,Midwest,West North Central
30,NH,0.9862970588235296,0.9917056737555554,NH,Northeast,New England
31,NJ,1.0361248447204972,1.041899682652229,NJ,Northeast,Middle Atlantic
32,NM,0.9884481132075476,0.7784600237720932,NM,West,Mountain
33,NV,1.0321925925925928,0.987931925839535,NV,West,Mountain
34,NY,1.0363082066869305,1.1018049091779074,NY,Northeast,Middle Atlantic
35,OH,0.9961886054421774,1.0234358070343759,OH,Midwest,East North Central
36,OK,1.000007508532423,0.9503100215737499,OK,South,West South Central
37,OR,0.9630872611464972,0.8201126472015875,OR,West,Pacific
38,PA,1.0042114492753618,1.0177972108967859,PA,Northeast,Middle Atlantic
39,RI,0.9975377777777776,1.0384509294133335,RI,Northeast,New England
40,SC,0.9996896694214874,1.0283882647295772,SC,South,South Atlantic
41,SD,0.9196389830508476,0.7835841462842105,SD,Midwest,West North Central
42,TN,1.0164909574468086,0.9800278666689654,TN,South,East South Central
43,TX,1.0017122289679092,0.9703586888095823,TX,South,West South Central
44,UT,0.9422223140495866,0.8605467114058823,UT,West,Mountain
45,VA,1.0049097142857149,0.9989697328840484,VA,South,South Atlantic
46,VT,0.95713,0.93547970735,VT,Northeast,New England
47,WA,0.9698213389121332,0.8914183428666667,WA,West,Pacific
48,WI,0.968758412698412,0.8952950749540541,WI,Midwest,East North Central
49,WV,1.0180360902255638,1.0048976224945945,WV,South,South Atlantic
50,WY,0.9939474999999998,0.5895746216333334,WY,West,Mountain
